iter	Passed	Remaining
0	0	87
1	1	81
2	2	78
3	3	73
4	4	76
5	4	76
6	5	76
7	6	75
8	7	75
9	8	74
10	9	74
11	10	76
12	11	78
13	12	78
14	13	77
15	14	76
16	15	76
17	16	76
18	17	74
19	18	73
20	19	72
21	20	73
22	22	73
23	23	73
24	24	72
25	24	71
26	25	69
27	26	68
28	27	66
29	28	65
30	29	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	40
54	48	39
55	49	38
56	50	38
57	51	37
58	52	36
59	53	35
60	53	34
61	55	33
62	56	32
63	56	32
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
