iter	Passed	Remaining
0	139	139186
1	140	69922
2	141	46886
3	141	35354
4	142	28394
5	143	23755
6	144	20445
7	144	17954
8	145	16028
9	146	14480
10	146	13213
11	147	12173
12	148	11291
13	149	10530
14	150	9861
15	150	9281
16	151	8767
17	152	8305
18	152	7892
19	153	7528
20	154	7201
21	155	6899
22	155	6618
23	156	6361
24	157	6128
25	157	5914
26	158	5715
27	159	5528
28	160	5359
29	160	5204
30	161	5053
31	162	4910
32	162	4776
33	163	4649
34	164	4530
35	164	4417
36	165	4310
37	166	4215
38	167	4121
39	167	4029
40	168	3941
41	169	3856
42	169	3776
43	170	3700
44	170	3627
45	171	3559
46	172	3495
47	173	3436
48	173	3376
49	174	3317
50	175	3261
51	175	3206
52	176	3153
53	177	3101
54	177	3054
55	178	3013
56	179	2977
57	180	2934
58	181	2892
59	181	2850
60	182	2810
61	183	2772
62	183	2735
63	184	2700
64	185	2668
65	186	2634
66	186	2601
67	187	2569
68	188	2538
69	188	2507
70	189	2477
71	189	2448
72	190	2421
73	191	2395
74	192	2370
75	192	2345
76	193	2320
77	194	2295
78	194	2272
79	195	2249
80	196	2227
81	197	2205
82	197	2183
83	198	2162
84	198	2141
85	199	2121
86	200	2103
87	201	2084
88	201	2066
89	202	2051
90	203	2035
91	204	2019
92	205	2004
93	206	1988
94	207	1972
95	207	1955
96	208	1940
97	209	1925
98	209	1910
99	210	1894
100	211	1879
101	211	1864
102	212	1849
103	213	1835
104	213	1820
105	214	1806
106	215	1795
107	216	1784
108	216	1771
109	217	1758
110	217	1745
111	218	1733
112	219	1721
113	220	1710
114	220	1699
115	222	1692
116	222	1680
117	223	1670
118	224	1659
119	224	1648
120	225	1638
121	226	1626
122	226	1616
123	227	1608
124	228	1600
125	229	1592
126	230	1583
127	231	1575
128	231	1566
129	232	1556
130	233	1548
131	234	1541
132	235	1532
133	235	1524
134	236	1515
135	237	1507
136	237	1498
137	238	1490
138	239	1483
139	240	1476
140	241	1468
141	241	1459
142	242	1451
143	242	1444
144	243	1436
145	244	1428
146	245	1421
147	246	1418
148	247	1411
149	247	1404
150	248	1397
151	249	1390
152	249	1383
153	250	1377
154	251	1370
155	252	1364
156	253	1358
157	253	1352
158	254	1345
159	255	1339
160	255	1332
161	256	1326
162	257	1321
163	258	1316
164	258	1310
165	259	1305
166	260	1300
167	261	1294
168	262	1289
169	262	1283
170	263	1278
171	264	1272
172	265	1266
173	265	1261
174	266	1255
175	267	1250
176	267	1246
177	268	1240
178	269	1236
179	270	1232
180	271	1226
181	271	1221
182	272	1216
183	273	1210
184	273	1205
185	274	1200
186	275	1196
187	276	1192
188	277	1188
189	277	1183
190	278	1179
191	279	1174
192	279	1169
193	280	1164
194	280	1159
195	281	1155
196	282	1151
197	283	1146
198	283	1142
199	284	1137
200	285	1133
201	285	1128
202	286	1124
203	287	1119
204	287	1115
205	288	1112
206	289	1108
207	289	1104
208	290	1099
209	291	1095
210	291	1091
211	292	1087
212	293	1083
213	293	1079
214	294	1076
215	295	1072
216	296	1069
217	296	1065
218	297	1061
219	298	1057
220	298	1053
221	299	1049
222	300	1047
223	301	1044
224	302	1041
225	303	1038
226	303	1034
227	304	1031
228	305	1027
229	305	1024
230	306	1021
231	307	1018
232	308	1015
233	309	1012
234	309	1008
235	310	1005
236	311	1001
237	311	998
238	312	995
239	313	993
240	314	990
241	315	987
242	315	984
243	316	980
244	317	977
245	317	974
246	318	971
247	319	968
248	319	965
249	320	962
250	321	959
251	322	956
252	322	953
253	323	950
254	324	946
255	324	943
256	325	941
257	326	938
258	326	935
259	327	932
260	328	929
261	329	926
262	329	924
263	330	921
264	331	919
265	333	919
266	333	916
267	334	914
268	335	911
269	336	909
270	337	907
271	338	905
272	339	903
273	339	900
274	340	898
275	341	895
276	342	893
277	343	891
278	344	889
279	345	887
280	345	885
281	346	882
282	347	880
283	347	877
284	348	874
285	349	872
286	350	870
287	351	868
288	351	865
289	353	865
290	354	863
291	355	862
292	356	861
293	357	858
294	358	856
295	359	854
296	359	851
297	360	849
298	361	848
299	363	847
300	364	845
301	364	843
302	365	840
303	366	838
304	367	836
305	368	835
306	369	834
307	370	832
308	371	830
309	372	828
310	372	825
311	373	823
312	374	823
313	376	821
314	377	820
315	378	818
316	379	817
317	381	817
318	382	816
319	383	814
320	384	812
321	385	811
322	387	811
323	388	810
324	389	809
325	390	808
326	392	807
327	394	807
328	395	806
329	396	805
330	397	803
331	398	802
332	400	801
333	401	800
334	402	798
335	402	796
336	403	794
337	405	793
338	406	792
339	407	791
340	408	790
341	410	788
342	411	787
343	412	786
344	413	785
345	414	784
346	415	782
347	422	790
348	423	789
349	424	787
350	425	786
351	426	785
352	427	784
353	428	782
354	430	782
355	431	781
356	432	779
357	433	777
358	434	776
359	435	774
360	437	773
361	438	772
362	439	771
363	440	769
364	441	768
365	443	768
366	444	767
367	446	766
368	447	765
369	449	764
370	450	763
371	451	761
372	452	760
373	453	758
374	456	760
375	458	760
376	459	758
377	460	757
378	461	756
379	463	755
380	464	754
381	465	752
382	466	751
383	467	750
384	469	749
385	470	747
386	471	746
387	472	744
388	473	742
389	474	741
390	475	740
391	476	738
392	477	737
393	478	735
394	479	734
395	480	732
396	481	731
397	482	730
398	483	728
399	484	727
400	486	726
401	487	725
402	488	723
403	489	722
404	490	720
405	491	719
406	493	718
407	494	717
408	495	715
409	496	714
410	497	712
411	498	711
412	500	710
413	501	709
414	502	708
415	503	707
416	504	706
417	505	704
418	506	702
419	507	701
420	514	707
421	518	709
422	519	707
423	520	707
424	522	706
425	527	710
426	529	710
427	532	711
428	534	711
429	537	712
430	541	714
431	544	715
432	553	725
433	554	723
434	556	722
435	557	721
436	559	720
437	560	719
438	561	717
